channel,wp,vbias,gen,train,nps,filter,BI_analytic,BI_mc,sigma_BI,rp,sigma_rp,nsim,ratio
31,1,0.6,root,fit,clean,wiener,9.066898126101833e-05,0.0001485362384972928,7.781506512664174e-07,0.4407,0.0029300570935168763,50000,1.6382255147401061
31,17,6.0,root,fit,clean,wiener,6.776538540410979e-05,6.918235317100798e-05,5.859453243494921e-07,0.7395,0.002206325023604552,50000,1.0209099049381671
31,21,10.0,root,fit,clean,wiener,6.238436613948968e-05,6.312192591817728e-05,5.57886340310792e-07,0.76232,0.0021006714138752944,50000,1.0118228303712895
34,3,1.0,root,fit,clean,wiener,0.00017128330560354995,0.00018220055745298176,8.012238344848596e-07,0.31394,0.003016937113535088,50000,1.0637379796645257
34,1,0.6,root,fit,clean,wiener,0.00019711220440553394,0.0002087155906222464,7.482336803434656e-07,0.2141,0.002817407399364887,50000,1.0588669090871712
34,13,4.0,root,fit,clean,wiener,0.00010214783579407523,0.00010573081936445952,6.969460897101495e-07,0.60188,0.0026242885367128176,50000,1.0350764511311565
34,5,1.4,root,fit,clean,wiener,0.00015174108426907156,0.00015909019901558783,8.168362537253828e-07,0.40096,0.0030757242901161335,50000,1.048431937743931
34,7,1.8,root,fit,clean,wiener,0.00013832066013675368,0.00014445700262509823,7.833124006817734e-07,0.45606,0.0029494932020195245,50000,1.0443631665889805
34,9,2.0,root,fit,clean,wiener,0.00013003101828224317,0.00013952792594619647,7.707679744025841e-07,0.47462,0.002902258280165229,50000,1.0730357093977336
34,17,6.0,root,fit,clean,wiener,8.826325851847309e-05,9.21280549521024e-05,6.545076119142555e-07,0.6531,0.0024644902216930382,50000,1.0437871487921604
34,11,3.0,root,fit,clean,wiener,0.00011403884350193918,0.00012055522993645823,7.342926485323448e-07,0.54606,0.0027649136835495238,50000,1.05714181444157
34,23,20.0,root,fit,clean,wiener,6.795227661501578e-05,6.809349463741439e-05,5.688955871697523e-07,0.7436,0.0021421257541124664,50000,1.0020781941302523
34,25,26.0,root,fit,clean,wiener,6.563324027349744e-05,6.570331736855039e-05,5.601698857859942e-07,0.7526,0.0021092699013366815,50000,1.0010677073806036
34,21,10.0,root,fit,clean,wiener,7.772777997365601e-05,7.963008358846464e-05,6.145390401660514e-07,0.70016,0.0023139921183014003,50000,1.0244739218777812
34,27,30.0,root,fit,clean,wiener,6.311273769185685e-05,6.483223054167552e-05,5.58800499945429e-07,0.75588,0.002104113600703405,50000,1.027244783108823
31,3,1.0,root,fit,clean,wiener,5.125958627763467e-05,0.00016077925761891839,7.865782454545292e-07,0.3946,0.0029617904501515724,50000,3.136569553021711
31,5,1.4,root,fit,clean,wiener,4.936494328615168e-05,0.0001386090355739443,7.482262795691677e-07,0.47808,0.0028173795324072564,50000,2.8078435089143152
31,7,1.8,root,fit,clean,wiener,6.45800153411944e-05,0.00010640538050478336,7.060898901552155e-07,0.59934,0.0026587187043316013,50000,1.647651830719051
31,15,5.0,root,fit,clean,wiener,7.201294386421412e-05,7.060583652224255e-05,5.894604239867535e-07,0.73414,0.002219560818768142,50000,0.9804603552296823
31,19,8.0,root,fit,clean,wiener,6.24656625894461e-05,6.585203950972415e-05,5.710166001314176e-07,0.75204,0.0021501122398445726,50000,1.0542118146178154
34,29,40.0,root,fit,clean,wiener,6.312236599652236e-05,6.367963394757888e-05,5.540552885891154e-07,0.76022,0.00208624592922851,50000,1.0088283755252017
31,9,2.0,root,fit,clean,wiener,6.573360733594181e-05,0.00010003688595952128,6.855204866554188e-07,0.62332,0.0025812664442378735,50000,1.521852976184119
31,11,3.0,root,fit,clean,wiener,6.743326627515381e-05,8.337469464301824e-05,6.324131166968707e-07,0.68606,0.002381295364329604,50000,1.2364030284817769
