channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final,n_trials,train_s
34,1,0.6,0.001562028,3.867391205858439e-05,40.38970947265625,304.92503851570825,12315.833716587973,1.0,sim,0,,37,0.08207356166066283,0.0744070023331272,wna:1.0,0.00019671393371850602,0.7407088279724121,500,1663.8
34,3,1.0,0.002058465,3.365476004546508e-05,61.16415786743164,312.17540980019396,19093.94604734923,1.0,sim,0,,36,0.06815577340613968,0.06502048488815401,wna:1.0,0.00017138493111272003,0.6453347206115723,500,1663.9
34,15,5.0,0.002204652,1.7790449419408105e-05,123.92333984375,467.7893215038151,57970.015063994506,1.0,sim,0,,38,0.04530778847926049,0.03485115436745613,wna:1.0,9.320468018047874e-05,0.35095393657684326,500,1826.2
34,13,4.0,0.002317061,1.9397766664042138e-05,119.44989013671875,430.07999193401014,51373.0077865184,1.0,sim,0,,39,0.045689624749462435,0.03499382302489385,wna:1.0,0.00010180331423732568,0.3833313286304474,500,1832.3
34,11,3.0,0.0024210790000000005,2.6656431145966053e-05,90.8253173828125,444.9572506191231,40413.3835092655,1.0,sim,0,,38,0.04898693483295448,0.0383181068933315,wna:1.0,0.00011357233176038914,0.4276465177536011,500,1833.7
34,7,1.8,0.0024120219999999998,2.6728010197984986e-05,90.24323272705078,336.63308515034794,30378.85784684795,1.0,sim,0,,39,0.05302920813603969,0.04449565987269085,wna:1.0,0.00013764266602721108,0.5182812213897705,500,2221.9
34,9,2.0,0.002440126,2.5073728465940803e-05,97.31803894042969,339.5260977451928,33042.01400165881,1.0,sim,0,,38,0.051163314636226066,0.04202287615428071,wna:1.0,0.00012938748503461074,0.48719707131385803,500,2228.4
34,5,1.4,0.0023085469999999998,2.854041667887941e-05,80.8869400024414,312.381205394254,25267.559818615347,1.0,sim,0,,36,0.05716871980743314,0.05040827996623354,wna:1.0,0.00015123487209496724,0.569461464881897,500,2229.3
34,19,8.0,0.0018584769999999999,1.242934558831621e-05,149.5233154296875,498.1729423674718,74488.47000014702,1.0,sim,0,,38,0.0452698144025921,0.0350212059635633,wna:1.0,8.132507764073894e-05,0.3062223494052887,500,1779.0
34,17,6.0,0.002072425,1.4690699572383892e-05,141.070556640625,459.2900741017187,64792.30641304336,1.0,sim,0,,37,0.04430480575919471,0.03359518451383346,wna:1.0,8.808671189794757e-05,0.3316826820373535,500,1779.2
34,21,10.0,0.001688306,1.2547421647468582e-05,134.55401611328125,587.6611305244462,79072.16522573541,1.0,sim,0,,37,0.04569323795666203,0.03576566379401339,wna:1.0,7.755398768936035e-05,0.2920226454734802,500,1836.4
